SPECIES,bins,size,Source
Monomorium trageri,,,
Monomorium viridum,,10000,King
Myrmecina americana,,24,Burchill
Myrmecina americana,,50,King
Myrmelachista ramulorum,,2518550,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Myrmica punctiventris,,13,Burchill
Myrmica punctiventris,,86,Burchill
Myrmica punctiventris,,50,Deyrup
Neivamyrmex carolinensis,,110000,Burchill
Neivamyrmex carolinensis,,30000,King
Neivamyrmex nigrescens,,10000,Deyrup
Neivamyrmex nigrescens,,30000,Burchill
Neivamyrmex nigrescens,,110000,Burchill
Neivamyrmex opacithorax,,30000,King
Neivamyrmex pilosus,,,
Neivamyrmex texanus,,30000,King
Nylanderia arenivaga,,100,King
Nylanderia bourbonica,,200,pers comm j williams
Nylanderia concinna,,100,King
Nylanderia faisonensis,,22,Doug Booher Collection
Nylanderia faisonensis,,64,Doug Booher Collection
Nylanderia faisonensis,,268,Burchill
Nylanderia faisonensis,,100,King
Nylanderia fulva,,300000,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Nylanderia parvula,,100,King
Nylanderia phantasma,,100,King
Nylanderia pubens,,200,pers comm j williams
Nylanderia steinheili,,143,Burchill
Nylanderia vividula,,200,pers comm j williams
Nylanderia wojciki,,100,King
Ochetellus glaber,,416,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Odontomachus brunneus,,72,"Cerquera, L. M., and W. R. Tschinkel. 2008. J. Insect Sci. 10:1–12."
Odontomachus brunneus,,65,Burchill
Odontomachus brunneus,,200,King
Odontomachus haematodus,,500,Burchill
Odontomachus relictus,,200,King
Odontomachus ruginodis,,200,King
Paratrechina longicornis,,2000,Burchill
Pheidole anastasii,,,
Pheidole adrianoi,,350,King
Pheidole adrianoi,,300,Deyrup
Pheidole bicarinata,,200,Deyrup
Pheidole carrolli,,,
Pheidole crassicornis,,1000,Antweb
Pheidole dentata,,946,Burchill
Pheidole dentata,,946,Burchill
Pheidole dentigula,,300,King
Pheidole diversipilosa,,1000,Antwiki
Pheidole flavens,,1500,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Pheidole floridana,,1000,"Deyrup, King"
Pheidole lamia,,1200,Deyrup
Pheidole littoralis,,,
Pheidole megacephala,,100000,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Pheidole metallescens,,534,Deyrup
Pheidole metallescens,,1000,King
Pheidole navigans,,600,King
Pheidole morrisii,,2500,"Burchill, King"
Pheidole obscurithorax,,10000,Deyrup
Pheidole tysoni,,,
Platythyrea punctata,,60,King
Pogonomyrmex badius,,2568,Burchill
Pogonomyrmex badius,,4300,Burchill
Pogonomyrmex badius,,4736,Burchill
Pogonomyrmex badius,,4500,King
Polyergus longicornis,,133,"Joshua R. King , James C. Trager, Natural history of the slave making ant, Polyergus lucidus, sensu lato in northern Florida and its three Formica pallidefulva group hosts, Journal of Insect Science, Volume 7, Issue 1, 2007, 42, https://doi.org/10.1673/031.007.4201"
Polyergus lucidus,,41,"Joshua R. King , James C. Trager, Natural history of the slave making ant, Polyergus lucidus, sensu lato in northern Florida and its three Formica pallidefulva group hosts, Journal of Insect Science, Volume 7, Issue 1, 2007, 42, https://doi.org/10.1673/031.007.4201"
Ponera exotica,,50,King
Ponera pennsylvanica,,7,Doug Booher Collection
Ponera pennsylvanica,,14,Doug Booher Collection
Ponera pennsylvanica,,5,Burchill
Poneracantha triangularis,80-120,120,antwiki
Prenolepis imparis,,1500,"Talbot 1964 in ""Populations of ants in a Missouri Woodland"""
Prenolepis imparis,,3790,"Tschinkel, W. R. 1987. Insectes Soc. 34:143–164."
Prenolepis imparis,,1600,Burchill
Prenolepis imparis,,3370,Burchill
Prionopelta antillana,282-709,709,"Ladino, Natalia, and Rodrigo M. Feitosa. ""Taxonomic revision of the genus Prionopelta Mayr, 1866 (Formicidae: Amblyoponinae) for the Neotropical region."" Zootaxa 4821.2 (2020): 201-249."
Proceratium chickasaw,,,
Proceratium crassicorne,,30,Antwiki
Proceratium creek,,,
Proceratium croceum,,30,Deyrup
Proceratium pergandei,,28,Burchill
Proceratium pergandei,,25,King
Proceratium silaceum,,28,Burchill
Pseudomyrmex cubaensis,,,
Pseudomyrmex ejectus,,80,King
Pseudomyrmex elongatus,,80,King
Pseudomyrmex gracilis,,80,King
Pseudomyrmex leptosus,,,Deyrup
Pseudomyrmex pallidus,,30,King
Pseudomyrmex seminole,,,
Pseudomyrmex simplex,,,
Pseudoponera stigma,,9,Burchill
Solenopsis carolinensis,,200,King
Solenopsis geminata,,28000,King
Solenopsis globularia,,50,King
Solenopsis invicta,,100000,Burchill
Solenopsis invicta,,220000,Burchill
Solenopsis invicta,,105059,Tschinkel monograph (average of the average)
Solenopsis invicta,,150000,King
Solenopsis nickersoni,,,
Solenopsis molesta,,1436,"Hayes, W. P. 1920. Solenopsis molesta Say (Hym.): a biological study. Kansas State Agricultural College, Agricultural Experiment Station. Manhattan, KS. Technical bulletin No. 7. 55 p."
Solenopsis pergandei,,10000,King
Solenopsis phoretica,,,
Solenopsis picta,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Stenamma foveolocephalum,,,
Stenamma impar,,54,Burchill
Stigmatomma pallipes,,13,Deyrup
Stigmatomma pallipes,,10,King
Strumigenys abdita,,,
Strumigenys angulata,,,
Strumigenys apalachicolensis,,332,Deyrup
Strumigenys archboldi,,,
Strumigenys boltoni,,,
Strumigenys brevisetosa,,,
Strumigenys bunki,,40,King
Strumigenys carolinensis,,,
Strumigenys cloydi,,50,Deyrup
Strumigenys clypeata,,50,King
Strumigenys clypeata,,62,?
Strumigenys creightoni,,34,Doug Booher Collection
Strumigenys creightoni,,50,King
Strumigenys dietrichi,,50,King
Strumigenys dietrichi,,80,Deyrup
Strumigenys eggersi,,33,Deyrup
Strumigenys emmae,,14,Deyrup and Deyrup (1999) via Antwiki
Strumigenys emmae,,42,Deyrup and Deyrup (1999) via Antwiki
Strumigenys epinotalis,,121,Deyrup
Strumigenys gundlachi,,,
Strumigenys hexamera,,35,Terayama 2014 via Ant wiki
Strumigenys hexamera,,50,Deyrup
Strumigenys laevinasis,,14,Doug Booher Collection
Strumigenys lanuginosa,,,
Strumigenys louisianae,,118,Deyrup
Strumigenys margaritae,,200,Deyrup
Strumigenys margaritae,,250,Deyrup
Strumigenys membranifera,,350,Ito et al. 2010 via Antwiki
Strumigenys membranifera,,250,Antwiki
Strumigenys membranifera,,93,Deyrup
Strumigenys missouriensis,,48,Doug Booher Collection
Strumigenys missouriensis,,50,Doug Booher Collection
Strumigenys ornata,,20,Wesson & Wesson 1939 via Antwiki
Strumigenys pilinasis,,56,Doug Booher Collection
Strumigenys pilinasis,,11,Doug Booher Collection
Strumigenys pilinasis,,21,Doug Booher Collection
Strumigenys pilinasis,,,Doug Booher Collection
Strumigenys pilinasis,,38,Doug Booher Collection
Strumigenys pilinasis,,34,Doug Booher Collection
Strumigenys pilinasis,,15,Doug Booher Collection
Strumigenys pilinasis,,32,Doug Booher Collection
Strumigenys pilinasis,,22,Doug Booher Collection
Strumigenys pilinasis,,,Doug Booher Collection
Strumigenys pilinasis,,22,Doug Booher Collection
Strumigenys pilinasis,,24,Doug Booher Collection
Strumigenys pilinasis,,38,Doug Booher Collection
Strumigenys pilinasis,,24,Doug Booher Collection
Strumigenys pilinasis,,45,Doug Booher Collection
Strumigenys pilinasis,,43,Doug Booher Collection
Strumigenys pilinasis,,17,Doug Booher Collection
Strumigenys pilinasis,,30,Doug Booher Collection
Strumigenys pilinasis,,28,Doug Booher Collection
Strumigenys pilinasis,,38,Doug Booher Collection
Strumigenys pilinasis,,49,Doug Booher Collection
Strumigenys pilinasis,,15,Doug Booher Collection
Strumigenys pilinasis,,43,Doug Booher Collection
Strumigenys pilinasis,,11,Doug Booher Collection
Strumigenys pilinasis,,8,Doug Booher Collection
Strumigenys pilinasis,,18,Doug Booher Collection
Strumigenys pilinasis,,12,Doug Booher Collection
Strumigenys pilinasis,,12,Doug Booher Collection
Strumigenys pilinasis,,27,Doug Booher Collection
Strumigenys pilinasis,,28,Doug Booher Collection
Strumigenys pilinasis,,55,Doug Booher Collection
Strumigenys pilinasis,,3,Doug Booher Collection
Strumigenys pilinasis,,30,Doug Booher Collection
Strumigenys pilinasis,,7,Doug Booher Collection
Strumigenys pilinasis,,5,Doug Booher Collection
Strumigenys pilinasis,,16,Doug Booher Collection
Strumigenys pilinasis,,52,Doug Booher Collection
Strumigenys pulchella,,33,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Strumigenys reflexa,,,
Strumigenys rogeri,,,
Strumigenys rostrata,,11,Doug Booher Collection
Strumigenys rostrata,,5,Doug Booher Collection
Strumigenys rostrata,,30,Doug Booher Collection
Strumigenys rostrata,,27,Doug Booher Collection
Strumigenys rostrata,,56,Doug Booher Collection
Strumigenys rostrata,,19,Doug Booher Collection
Strumigenys silvestrii,,,
Strumigenys talpa,,60,Wesson & Wesson 1939 via Antwiki
Strumigenys talpa,,8,Doug Booher Collection
Strumigenys talpa,,121,Doug Booher Collection
Strumigenys talpa,,25,Doug Booher Collection
Strumigenys talpa,,20,Doug Booher Collection
Strumigenys talpa,,50,King
Strumigenys wrayi,,,
Tapinoma litorale,,20,Jack Longino via Antwiki
Tapinoma melanocephalum,,550,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Tapinoma sessile,,300,Burchill
Technomyrmex difficilis,,730400,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Temnothorax allardycei,,60,Deyrup
Temnothorax bradleyi,,50,King
Temnothorax curvispinosus,,48,Doug Booher Collection
Temnothorax curvispinosus,,136,Doug Booher Collection
Temnothorax curvispinosus,,161,Doug Booher Collection
Temnothorax curvispinosus,,179,Doug Booher Collection
Temnothorax curvispinosus,,13,Doug Booher Collection
Temnothorax curvispinosus,,53,Doug Booher Collection
Temnothorax curvispinosus,,76,Doug Booher Collection
Temnothorax curvispinosus,,110,Doug Booher Collection
Temnothorax curvispinosus,,38,Doug Booher Collection
Temnothorax curvispinosus,,31,Doug Booher Collection
Temnothorax curvispinosus,,67,Doug Booher Collection
Temnothorax curvispinosus,,26,Doug Booher Collection
Temnothorax curvispinosus,,35,Doug Booher Collection
Temnothorax curvispinosus,,67,Doug Booher Collection
Temnothorax curvispinosus,,7,Doug Booher Collection
Temnothorax curvispinosus,,6,Doug Booher Collection
Temnothorax curvispinosus,,141,Doug Booher Collection
Temnothorax curvispinosus,,14,Doug Booher Collection
Temnothorax curvispinosus,,28,Doug Booher Collection
Temnothorax curvispinosus,,37,Doug Booher Collection
Temnothorax curvispinosus,,13,Doug Booher Collection
Temnothorax curvispinosus,,71,Doug Booher Collection
Temnothorax curvispinosus,,18,Doug Booher Collection
Temnothorax curvispinosus,,26,Doug Booher Collection
Temnothorax curvispinosus,,30,Doug Booher Collection
Temnothorax curvispinosus,,45,Doug Booher Collection
Temnothorax curvispinosus,,13,Doug Booher Collection
Temnothorax curvispinosus,,5,Doug Booher Collection
Temnothorax curvispinosus,,95,Doug Booher Collection
Temnothorax curvispinosus,,46,Doug Booher Collection
Temnothorax curvispinosus,,162,Doug Booher Collection
Temnothorax curvispinosus,,40,Doug Booher Collection
Temnothorax curvispinosus,,26,Doug Booher Collection
Temnothorax curvispinosus,,25,Doug Booher Collection
Temnothorax curvispinosus,,13,Doug Booher Collection
Temnothorax curvispinosus,,27,Doug Booher Collection
Temnothorax curvispinosus,,50,Doug Booher Collection
Temnothorax curvispinosus,,101,Doug Booher Collection
Temnothorax curvispinosus,,73,Doug Booher Collection
Temnothorax curvispinosus,,26,Doug Booher Collection
Temnothorax curvispinosus,,29,Doug Booher Collection
Temnothorax curvispinosus,,83,Doug Booher Collection
Temnothorax curvispinosus,,46,Doug Booher Collection
Temnothorax curvispinosus,,75,Doug Booher Collection
Temnothorax curvispinosus,,84,Burchill
Temnothorax curvispinosus,,50,Burchill
Temnothorax palustris,,50,King
Temnothorax pergandei,,60,Deyrup
Temnothorax pergandei,,50,King
Temnothorax schaumii,,100,Deyrup
Temnothorax smithi,,31,Smith 1920 via Antwiki
Temnothorax smithi,,40,Smith 1920 via Antwiki
Temnothorax texanus,,50,King
Temnothorax torrei,,,
Tetramorium bicarinatum,,500,Booher
Tetramorium caldarium,,,
Tetramorium lanuginosum,,,
Tetramorium simillimum,,300,King
Trachymyrmex jamaicensis,,150,Antwiki
Trachymyrmex septentrionalis,,194,"Seal, J. N., W. R. Tschinkel. 2006. Ann. Entomol. Soc. Am. 99:673–682."
Trachymyrmex septentrionalis,,800,Burchill
Trachymyrmex septentrionalis,,300,King
Wasmannia auropunctata,,839,Burchill
Wasmannia auropunctata,,800,King
Xenomyrmex floridanus,,50,King
