Subfamily,Genus,Genus.Species,caste,colony_size,cs_source,cs_notes,nesting_strata,diet,status,morphism,notes_biology
Myrmicinae,Pogonomyrmex,Pogonomyrmex.badius,major,2568,Burchill,,Ground,Specialist,Native,Polymorphic,
Myrmicinae,Pogonomyrmex,Pogonomyrmex.badius,major,4300,Burchill,,Ground,Specialist,Native,Polymorphic,
Myrmicinae,Pogonomyrmex,Pogonomyrmex.badius,major,4736,Burchill,,Ground,Specialist,Native,Polymorphic,
Myrmicinae,Pogonomyrmex,Pogonomyrmex.badius,major,4500,King,,Ground,Specialist,Native,Polymorphic,
Myrmicinae,Pogonomyrmex,Pogonomyrmex.badius,worker,2568,Burchill,,Ground,Specialist,Native,Polymorphic,
Myrmicinae,Pogonomyrmex,Pogonomyrmex.badius,worker,4300,Burchill,,Ground,Specialist,Native,Polymorphic,
Myrmicinae,Pogonomyrmex,Pogonomyrmex.badius,worker,4736,Burchill,,Ground,Specialist,Native,Polymorphic,
Myrmicinae,Pogonomyrmex,Pogonomyrmex.badius,worker,4500,King,,Ground,Specialist,Native,Polymorphic,
Formicinae,Polyergus,Polyergus longicornis,worker,133,"Joshua R. King , James C. Trager, Natural history of the slave making ant, Polyergus lucidus, sensu lato in northern Florida and its three Formica pallidefulva group hosts, Journal of Insect Science, Volume 7, Issue 1, 2007, 42, https://doi.org/10.1673/031.007.4201",,,,,,
Formicinae,Polyergus,Polyergus lucidus,worker,41,"Joshua R. King , James C. Trager, Natural history of the slave making ant, Polyergus lucidus, sensu lato in northern Florida and its three Formica pallidefulva group hosts, Journal of Insect Science, Volume 7, Issue 1, 2007, 42, https://doi.org/10.1673/031.007.4201",,,,,Monomorphic,
Ponerinae,Ponera,Ponera.exotica,worker,50,King,,Ground,Predator,Native,Monomorphic,
Ponerinae,Ponera,Ponera.pennsylvanica,worker,7,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,
Ponerinae,Ponera,Ponera.pennsylvanica,worker,14,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,
Ponerinae,Ponera,Ponera.pennsylvanica,worker,5,Burchill,,Mixed,Predator,Native,Monomorphic,
Formicinae,Prenolepis,Prenolepis.imparis,worker,1500,"Talbot 1964 in ""Populations of ants in a Missouri Woodland""",,Ground,Omnivore,Native,Monomorphic,
Formicinae,Prenolepis,Prenolepis.imparis,worker,3790,"Tschinkel, W. R. 1987. Insectes Soc. 34:143–164.",,Ground,Omnivore,Native,Monomorphic,
Formicinae,Prenolepis,Prenolepis.imparis,worker,1600,Burchill,,Ground,Omnivore,Native,Monomorphic,
Formicinae,Prenolepis,Prenolepis.imparis,worker,3370,Burchill,,Ground,Omnivore,Native,Monomorphic,
Amblyoponinae,Prionopelta,Prionopelta.antillana,worker,,,,Mixed,Predator,Nonnative,Monomorphic,
Proceratiinae,Proceratium,Proceratium.chickasaw,worker,,,,Mixed,Predator,Native,Monomorphic,
Proceratiinae,Proceratium,Proceratium.crassicorne,worker,30,Antwiki,,Mixed,Predator,Native,Monomorphic,
Proceratiinae,Proceratium,Proceratium.creek,worker,,,,Ground,Predator,Native,Monomorphic,
Proceratiinae,Proceratium,Proceratium.croceum,worker,30,Deyrup,,Ground,Predator,Native,Monomorphic,
Proceratiinae,Proceratium,Proceratium.pergandei,worker,28,Burchill,,Ground,Predator,Native,Monomorphic,
Proceratiinae,Proceratium,Proceratium.pergandei,worker,25,King,,Ground,Predator,Native,Monomorphic,
Proceratiinae,Proceratium,Proceratium.silaceum,worker,28,Burchill,,Ground,Predator,Native,Monomorphic,
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.cubaensis,worker,,,,Arboreal,Omnivore,Nonnative,Monomorphic,
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.ejectus,worker,80,King,,Arboreal,Omnivore,Nonnative,Monomorphic,
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.elongatus,worker,80,King,,Arboreal,Omnivore,Nonnative,Monomorphic,
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.gracilis,worker,80,King,,Arboreal,Omnivore,Nonnative,Monomorphic,prey on small insects but also honey dew from sap sucking insects
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.leptosus,worker,,Deyrup,0,Arboreal,Omnivore,Native,Monomorphic,Workerless parasite
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.pallidus,worker,30,King,,Arboreal,Omnivore,Nonnative,Monomorphic,
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.seminole,worker,,,,Ground,,Native,Monomorphic,"Possible parasite, rarely sampled"
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.simplex,worker,,,,Arboreal,Omnivore,Native,Monomorphic,
Pseudomyrmecinae,Pseudomyrmex,Pseudomyrmex.sp.,worker,,,,,,,Monomorphic,
Ponerinae,Pseudoponera,Pseudoneoponera.stigma,worker,9,Burchill,,Ground,Predator,Native,Monomorphic,
Myrmicinae,Solenopsis,Solenopsis.carolinensis,worker,200,King,,Ground,Omnivore,Native,Monomorphic,Polgynous
Myrmicinae,Solenopsis,Solenopsis.geminata,major,28000,King,,Ground,Omnivore,Nonnative,Polymorphic,
Myrmicinae,Solenopsis,Solenopsis.geminata,worker,28000,King,,Ground,Omnivore,Nonnative,Polymorphic,
Myrmicinae,Solenopsis,Solenopsis.globularia,worker,50,King,,Ground,Omnivore,Nonnative,Polymorphic,
Myrmicinae,Solenopsis,Solenopsis.invicta,worker,100000,Burchill,,Ground,Omnivore,Nonnative,Polymorphic,Weakly polymorphic
Myrmicinae,Solenopsis,Solenopsis.invicta,worker,220000,Burchill,,Ground,Omnivore,Nonnative,Polymorphic,Weakly polymorphic
Myrmicinae,Solenopsis,Solenopsis.invicta,worker,150000,King,,Ground,Omnivore,Nonnative,Polymorphic,"Weakly polymorphic, images difficult to tell"
Myrmicinae,Solenopsis,Solenopsis.molesta,worker,1436,"Hayes, W. P. 1920. Solenopsis molesta Say (Hym.): a biological study. Kansas State Agricultural College, Agricultural Experiment Station. Manhattan, KS. Technical bulletin No. 7. 55 p.",,Ground,Omnivore,,,
Myrmicinae,Solenopsis,Solenopsis.pergandei,worker,10000,King,,Ground,Predator,Native,Monomorphic,
Myrmicinae,Solenopsis,Solenopsis.phoretica,worker,,,,,Specialist,,,"Only one specimen, (image not avail on antweb)"
Myrmicinae,Solenopsis,Solenopsis.picta,worker,,,,Arboreal,Omnivore,Native,Monomorphic, (zeteki is arboreal as well)
Myrmicinae,Stenamma,Stenamma.foveolocephalum,worker,,,,Ground,Predator,Native,Monomorphic,Very rare
Myrmicinae,Stenamma,Stenamma.impar,worker,54,Burchill,,Ground,Omnivore,Native,Monomorphic,
Amblyoponinae,Stigmatomma,Stigmatomma.pallipes,worker,13,Deyrup,19 to 16,Ground,Predator,Native,Monomorphic,
Amblyoponinae,Stigmatomma,Stigmatomma.pallipes,worker,10,King,,Ground,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.abdita,worker,,,,Ground,Predator,Native,Monomorphic,Very rare
Myrmicinae,Strumigenys,Strumigenys.angulata,worker,,,,Leaf Litter,Predator,Native,Monomorphic,Very rare
Myrmicinae,Strumigenys,Strumigenys.apalachicolensis,worker,332,Deyrup,,Leaf Litter,Predator,Native,Monomorphic, (no image of eye available)
Myrmicinae,Strumigenys,Strumigenys.archboldi,worker,,,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.boltoni,worker,,,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.brevisetosa,worker,,,,Mixed,Predator,Native,Monomorphic, (was pilinasis) (No image with eye available)
Myrmicinae,Strumigenys,Strumigenys.bunki,worker,40,King,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.carolinensis,worker,,,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.cloydi,worker,50,Deyrup,,Ground,Predator,Native,Monomorphic,Found under log in references within Deyrup
Myrmicinae,Strumigenys,Strumigenys.clypeata,worker,50,King,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.clypeata,worker,62,?,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.creightoni,worker,34,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.creightoni,worker,50,King,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.dietrichi,worker,50,King,,Ground,Predator,Native,Monomorphic,But from rotten wood…?
Myrmicinae,Strumigenys,Strumigenys.dietrichi,worker,80,Deyrup,,Ground,Predator,Native,Monomorphic,But from rotten wood…?
Myrmicinae,Strumigenys,Strumigenys.eggersi,worker,33,Deyrup,"25,  maximum 45",Leaf Litter,Predator,Nonnative,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.emmae,worker,14,Deyrup and Deyrup (1999) via Antwiki,,Leaf Litter,Predator,Nonnative,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.emmae,worker,42,Deyrup and Deyrup (1999) via Antwiki,,Leaf Litter,Predator,Nonnative,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.epinotalis,worker,121,Deyrup,,Arboreal,Predator,Nonnative,Monomorphic,Likely diurnal?
Myrmicinae,Strumigenys,Strumigenys.gundlachi,worker,,,,Leaf Litter,Predator,Nonnative,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.hexamera,worker,35,Terayama 2014 via Ant wiki,Up to 50,Ground,Predator,Nonnative,Monomorphic,Monogyne
Myrmicinae,Strumigenys,Strumigenys.hexamera,worker,50,Deyrup,Up to 50,Ground,Predator,Nonnative,Monomorphic,Monogyne
Myrmicinae,Strumigenys,Strumigenys.inopina QUEEN ONLY,worker,,,,,,,Monomorphic,"Only known from queen, very rare species"
Myrmicinae,Strumigenys,Strumigenys.laevinasis,worker,14,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.lanuginosa,worker,,,,Leaf Litter,Predator,Nonnative,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.louisianae,worker,118,Deyrup,"usually small, but max 118",Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.margaritae,worker,200,Deyrup,,Leaf Litter,Predator,Nonnative,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.margaritae,worker,250,Deyrup,,Leaf Litter,Predator,Nonnative,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.membranifera,worker,350,Ito et al. 2010 via Antwiki,up to 350 indiv,Ground,Predator,Nonnative,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.membranifera,worker,250,Antwiki,average size,Ground,Predator,Nonnative,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.membranifera,worker,93,Deyrup,75-110,Ground,Predator,Nonnative,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.missouriensis,worker,48,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.missouriensis,worker,50,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.ornata,worker,20,Wesson & Wesson 1939 via Antwiki,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,56,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,11,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,21,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,38,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,34,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,15,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,32,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,22,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,22,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,24,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,38,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,24,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,45,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,43,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,17,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,30,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,28,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,38,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,49,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,15,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,43,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,11,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,8,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,18,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,12,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,12,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,27,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,28,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,55,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,3,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,30,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,7,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,5,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,16,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pilinasis,worker,52,Doug Booher Collection,,Mixed,Predator,Native,Monomorphic,(was ohioensis) (no image with eye available)
Myrmicinae,Strumigenys,Strumigenys.pulchella,worker,,,,Mixed,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.reflexa,worker,,,,Mixed,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.rogeri,worker,,,,Leaf Litter,Predator,Nonnative,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.rostrata,worker,11,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.rostrata,worker,5,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.rostrata,worker,30,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.rostrata,worker,27,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.rostrata,worker,56,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.rostrata,worker,19,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.silvestrii,worker,,,,Leaf Litter,Predator,Nonnative,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.talpa,worker,60,Wesson & Wesson 1939 via Antwiki,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.talpa,worker,8,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.talpa,worker,121,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.talpa,worker,25,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.talpa,worker,20,Doug Booher Collection,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.talpa,worker,50,King,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Strumigenys,Strumigenys.wrayi,worker,,,,,Predator,,Monomorphic,(no image with eye available)
Dolichoderinae,Tapinoma,Tapinoma.litorale,worker,20,Jack Longino via Antwiki,,Ground,Omnivore,Native,Monomorphic,
Dolichoderinae,Tapinoma,Tapinoma.melanocephalum,worker,,,,Mixed,Omnivore,Nonnative,Monomorphic,
Dolichoderinae,Tapinoma,Tapinoma.sessile,worker,300,Burchill,,Mixed,Omnivore,Native,Monomorphic,
Dolichoderinae,Technomyrmex,Technomyrmex.difficilis,worker,,,,Mixed,Omnivore,Nonnative,Monomorphic,Likely very large sizes
Myrmicinae,Temnothorax,Temnothorax.allardycei,worker,60,Deyrup,,Mixed,Omnivore,Nonnative,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.bradleyi,worker,50,King,,Arboreal,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,48,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,136,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,161,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,179,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,13,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,53,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,76,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,110,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,38,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,31,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,67,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,26,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,35,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,67,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,7,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,6,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,141,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,14,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,28,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,37,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,13,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,71,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,18,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,26,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,30,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,45,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,13,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,5,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,95,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,46,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,162,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,40,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,26,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,25,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,13,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,27,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,50,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,101,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,73,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,26,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,29,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,83,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,46,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,75,Doug Booher Collection,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,84,Burchill,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.curvispinosus,worker,50,Burchill,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.palustris,worker,50,King,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.pergandei,worker,60,Deyrup,20-100,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.pergandei,worker,50,King,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.schaumii,worker,100,Deyrup,100+,Arboreal,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.smithi,worker,31,Smith 1920 via Antwiki,,Arboreal,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.smithi,worker,40,Smith 1920 via Antwiki,,Arboreal,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.texanus,worker,50,King,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Temnothorax,Temnothorax.torrei,worker,,,,Leaf Litter,,Native,Monomorphic,"Very rare, only known from one specimen"
Myrmicinae,Tetramorium,Tetramorium.bicarinatum,worker,500,Booher,500+ (personal account),Mixed,Omnivore,Nonnative,Monomorphic,
Myrmicinae,Tetramorium,Tetramorium.caldarium,worker,,,,Ground,Omnivore,Nonnative,Monomorphic,
Myrmicinae,Tetramorium,Tetramorium.lanuginosum,worker,,,,Ground,Omnivore,Nonnative,Monomorphic,
Myrmicinae,Tetramorium,Tetramorium.simillimum,worker,300,King,,Ground,Omnivore,Nonnative,Monomorphic,Polygyne
